구분,Customer,Customer2,Location,Fab,IDM/Foundry,Country,Region,Origin,D/R,Device1,Device2,Device3,Grade,Grade1,Grade2,Team,사업,22.1Q,22.2Q,22.3Q,22.4Q,23.1Q,23.2Q,23.3Q,23.4Q,24.1Q,24.2Q,24.3Q,24.4Q,25.1Q,25.2Q,25.3Q,25.4Q,26.1Q,26.2Q,26.3Q,26.4Q,27.1Q,27.2Q,27.3Q,27.4Q,28.1Q,28.2Q,28.3Q,28.4Q
거래고객,INTEL,Intel,Arizona,Fab 12/32/42,IDM,USA,USA,USA,7/10/14/22nm,MPU,MPU,MPU,EPI,EPI,Epitaxial,미국법인,비메모리,60,60,60,60,60,60,60,60,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
거래고객,INTEL,Intel,Lexlip,Fab 24,IDM,Ireland,EU,USA,14nm,MPU,MPU,MPU,EPI,EPI,Epitaxial,미국법인,비메모리,55,55,60,60,62,62,58,58,39,39,39,39,31,31,31,31,15,15,15,15,15,15,15,15,23,23,23,23
거래고객,INTEL,Intel,Lexlip,Fab 34/44,IDM,Ireland,EU,USA,10nm,MPU,MPU,MPU,EPI,EPI,Epitaxial,미국법인,비메모리,0,0,0,0,0,0,10,20,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
거래고객,INTEL,Intel,Kiryat Gat,Fab 28,IDM,Israel,AP,USA,10nm,MPU,MPU,MPU,EPI,EPI,Epitaxial,미국법인,비메모리,40,40,45,45,45,45,45,45,50,50,50,50,50,50,50,50,30,30,30,30,20,20,20,20,19,19,19,19
거래고객,INTEL,Intel,Kiryat Gat,Fab 38/48,IDM,Israel,AP,USA,10nm(Intel3),MPU,MPU,MPU,EPI,EPI,Epitaxial,미국법인,비메모리,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,38,38,38,38,60,60,60,60
거래고객,INTEL,Intel,Arizona,"Fab 52,62",Foundry,USA,USA,USA,7nm,Logic,Logic,Logic,EPI,EPI,Epitaxial,미국법인,비메모리,0,0,0,0,0,0,0,0,0,0,0,0,24,24,24,24,67,67,67,67,114,114,114,114,124,124,124,124
거래고객,INTEL,Intel,EU,"Fab 29,39",Foundry,Germany,EU,USA,7nm,Logic,Logic,Logic,EPI,EPI,Epitaxial,미국법인,비메모리,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,39,39,39,39,54,54,54,54
거래고객,INTEL,Intel,Ohio,"Fab 27,37",Foundry,USA,USA,USA,7nm,Logic,Logic,Logic,EPI,EPI,Epitaxial,미국법인,비메모리,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,23,23
거래고객,On Semi,On Semi,NY East Fishkill,Fab 10,IDM,USA,USA,USA,65nm,CIS,BSI,CIS,EPI,EPI,Epitaxial,미국법인,비메모리,0,0,0,0,0,0,0,0,0,0,0,0,2.210526316,2.210526316,2.210526316,2.210526316,4.328,4.328,4.328,4.328,6.843,6.843,6.843,6.843,11.7,11.7,11.7,11.7
거래고객,On Semi,On Semi,NY East Fishkill,Fab 10,IDM,USA,USA,USA,22~65nm,Analog,Analog,Analog,PW,Prime,Polished,미국법인,비메모리,8.74,10.173,11.68,14.467,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,21,21,21,21,23,23,23,23
